# BASE_200_PROBLEMES_PLANTES_FR_EN_IT_DE
# Encodage: UTF-8. Separateur de champs: |. Separateur de taxons et de synonymes: ;.
# Les identifiants correspondent aux 200 problemes de la liste initiale.
# Les noms scientifiques des plantes sont communs aux quatre langues.
# GENERAL: probleme possible sur les plantes vasculaires selon les conditions et le stade de developpement.
# LARGE: nombreux hotes; les taxons indiques sont des exemples non exhaustifs.
# CIBLE: hotes principaux ou exemples dans un groupe cible; liste non exhaustive.
# Un genre ou une famille ne signifie pas que toutes ses especes ou varietes sont sensibles.
# Tracheophyta = plantes vasculaires. Les symptomes et la sensibilite dependent de l'espece et du contexte.
# Taxonomie: 159 noms rapproches exactement de GBIF; Streptocarpus confirme par la classification GBIF de S. ionanthus.
# Six noms conserves sous leur nom scientifique, sans correspondance GBIF automatique definitive: Allium porrum;Cedrus;Goeppertia;Hosta;Prunus dulcis;Schlumbergera.
# Synonymes pour la recherche: Pisum sativum -> Lathyrus oleraceus; Eriobotrya japonica -> Rhaphiolepis bibas.
# Dernier champ, facultatif: les autres noms sous lesquels on cherche l'entree, toutes langues melees.
# La fiche du probleme les affiche sous le titre; le titre, lui, reste celui des quatre colonnes de noms.
# Un synonyme est un autre NOM de l'entree: nom courant, nom scientifique qui circule, abreviation.
# Jamais un symptome, un traitement ni un nom de plante: les taxons hotes s'en chargent deja.
# Un synonyme que le titre permet deja de trouver n'entre pas; un test le verifie.
# La verification GBIF porte sur les noms des plantes, pas sur les relations hote-probleme.
# 118: les perce-oreilles sont aussi des auxiliaires; entree reservee aux degats observes.
# 142: Juniperus est un hote alternant. 144: Epilobium et Abies sont des hotes alternants.
# 175: concerne les semis. 181: champignons superficiels sur miellat, sans parasitisme direct de la plante.
id|type|nom_fr|nom_en|nom_it|nom_de|portee|taxons_hotes_scientifiques|synonymes_recherche
001|ABIOTIQUE|Manque d'eau|Water deficit|Carenza d'acqua|Wassermangel|GENERAL|Tracheophyta|Sous-arrosage;Pas assez d'eau;Sécheresse;Soif;Underwatering;Drought stress;Siccità;Trockenstress
002|ABIOTIQUE|Excès d'eau et asphyxie racinaire|Waterlogging and root oxygen deficiency|Ristagno idrico e asfissia radicale|Staunässe und Sauerstoffmangel an den Wurzeln|GENERAL|Tracheophyta|Surarrosage;Trop d'eau;Arrosage excessif;Racines noyées;Overwatering;Troppa acqua;Überwässerung
003|ABIOTIQUE|Motte hydrophobe|Water-repellent root ball|Zolla idrofoba|Wasserabweisender Wurzelballen|GENERAL|Tracheophyta|Substrat hydrophobe;Terreau imperméable;Terreau qui n'absorbe plus;Dry patch
004|ABIOTIQUE|Sol ou substrat compacté|Soil or growing-medium compaction|Compattazione del terreno o del substrato|Boden- oder Substratverdichtung|GENERAL|Tracheophyta|Terre tassée;Terreau tassé;Substrat tassé
005|ABIOTIQUE|Pot trop étroit et chignon racinaire|Pot-bound roots and root circling|Radici costrette nel vaso e spiralizzate|Zu kleiner Topf und kreisende Wurzeln|GENERAL|Tracheophyta|Racines en spirale;Plante à l'étroit;Rootbound;Pot trop petit
006|ABIOTIQUE|Plantation trop profonde|Planting too deeply|Impianto troppo profondo|Zu tiefe Pflanzung|GENERAL|Tracheophyta
007|ABIOTIQUE|Choc de transplantation ou de rempotage|Transplanting or repotting shock|Shock da trapianto o rinvaso|Umpflanz- oder Umtopfschock|GENERAL|Tracheophyta
008|ABIOTIQUE|Manque de lumière et étiolement|Insufficient light and etiolation|Carenza di luce ed eziolamento|Lichtmangel und Vergeilung|GENERAL|Tracheophyta|Plante qui file;Pousses filantes;Trop d'ombre;Leggy growth
009|ABIOTIQUE|Brûlure solaire|Sunscald|Scottature solari|Sonnenbrand|GENERAL|Tracheophyta|Coup de soleil;Insolation;Sunburn;Scottatura
010|ABIOTIQUE|Stress de chaleur|Heat stress|Stress da caldo|Hitzestress|GENERAL|Tracheophyta|Canicule;Coup de chaud;Surchauffe
011|ABIOTIQUE|Dégâts de froid sans gel|Chilling injury|Danni da freddo senza gelo|Kälteschäden ohne Frost|LARGE|Ficus;Monstera;Dieffenbachia|Coup de froid;Refroidissement
012|ABIOTIQUE|Dégâts de gel|Frost damage|Danni da gelo|Frostschäden|GENERAL|Tracheophyta|Gelée;Plante gelée;Brûlure de gel
013|ABIOTIQUE|Air trop sec|Low air humidity|Umidità dell'aria insufficiente|Zu geringe Luftfeuchtigkeit|LARGE|Goeppertia;Maranta;Adiantum|Manque d'humidité;Hygrométrie trop basse;Dry air
014|ABIOTIQUE|Dessèchement par le vent|Wind desiccation|Disseccamento da vento|Austrocknung durch Wind|GENERAL|Tracheophyta
015|ABIOTIQUE|Dessiccation hivernale|Winter desiccation|Disseccamento invernale|Frosttrocknis|LARGE|Rhododendron;Buxus;Prunus laurocerasus;Thuja occidentalis|Sécheresse hivernale;Brûlure hivernale;Winter burn
016|ABIOTIQUE|Dégâts de grêle|Hail damage|Danni da grandine|Hagelschäden|GENERAL|Tracheophyta
017|ABIOTIQUE|Blessures mécaniques|Mechanical injury|Lesioni meccaniche|Mechanische Verletzungen|GENERAL|Tracheophyta|Branche cassée;Choc mécanique;Écorce arrachée
018|ABIOTIQUE|Étranglement par une attache|Girdling by ties or wires|Strozzatura da legacci o fili|Einschnürung durch Bindematerial|GENERAL|Tracheophyta|Lien trop serré;Tuteur;Collier;Garrot
019|ABIOTIQUE|Concurrence des adventices|Weed competition|Competizione delle infestanti|Konkurrenz durch Beikräuter|GENERAL|Tracheophyta|Mauvaises herbes;Erbacce;Unkraut
020|ABIOTIQUE|Taille inadaptée|Improper pruning|Potatura inadeguata|Unsachgemäßer Rückschnitt|GENERAL|Tracheophyta|Mauvaise taille;Élagage;Taille trop sévère
021|ABIOTIQUE|pH trop élevé|Excessively high pH|pH troppo elevato|Zu hoher pH-Wert|LARGE|Rhododendron;Camellia;Vaccinium corymbosum;Gardenia jasminoides|Sol calcaire;Sol alcalin;Substrat calcaire
022|ABIOTIQUE|pH trop bas|Excessively low pH|pH troppo basso|Zu niedriger pH-Wert|LARGE|Lavandula angustifolia;Syringa vulgaris;Brassica oleracea;Dianthus caryophyllus|Sol acide;Substrat trop acide;Acidité
023|ABIOTIQUE|Accumulation de sels|Salt accumulation|Accumulo di sali|Salzanreicherung|GENERAL|Tracheophyta|Excès d'engrais;Brûlure d'engrais;Salinité;Croûte blanche;Fertilizer burn
024|ABIOTIQUE|Excès d'azote|Excess nitrogen|Eccesso di azoto|Stickstoffüberschuss|GENERAL|Tracheophyta|Trop d'engrais;Excès de fertilisation;Suralimentation azotée
025|ABIOTIQUE|Carence en azote|Nitrogen deficiency|Carenza di azoto|Stickstoffmangel|GENERAL|Tracheophyta|Manque d'azote
026|ABIOTIQUE|Carence en potassium|Potassium deficiency|Carenza di potassio|Kaliummangel|GENERAL|Tracheophyta|Manque de potassium;Manque de potasse
027|ABIOTIQUE|Carence en magnésium|Magnesium deficiency|Carenza di magnesio|Magnesiummangel|GENERAL|Tracheophyta|Manque de magnésium;Magnésie
028|ABIOTIQUE|Carence en fer et chlorose ferrique|Iron deficiency and iron chlorosis|Carenza di ferro e clorosi ferrica|Eisenmangel und Eisenchlorose|GENERAL|Tracheophyta|Manque de fer
029|ABIOTIQUE|Carence ou défaut d'approvisionnement en calcium|Calcium deficiency or impaired calcium supply|Carenza o insufficiente apporto di calcio ai tessuti|Calciummangel oder gestörte Calciumversorgung|GENERAL|Tracheophyta|Manque de calcium;Manque de chaux
030|ABIOTIQUE|Carence en phosphore|Phosphorus deficiency|Carenza di fosforo|Phosphormangel|GENERAL|Tracheophyta|Manque de phosphore
031|ABIOTIQUE|Carence en soufre|Sulfur deficiency|Carenza di zolfo|Schwefelmangel|GENERAL|Tracheophyta|Manque de soufre
032|ABIOTIQUE|Carence en manganèse|Manganese deficiency|Carenza di manganese|Manganmangel|GENERAL|Tracheophyta|Manque de manganèse
033|ABIOTIQUE|Carence en bore|Boron deficiency|Carenza di boro|Bormangel|GENERAL|Tracheophyta|Manque de bore
034|ABIOTIQUE|Toxicité des fluorures|Fluoride toxicity|Tossicità da fluoruri|Fluoridtoxizität|LARGE|Dracaena;Chlorophytum comosum|Eau du robinet fluorée
035|ABIOTIQUE|Phytotoxicité des produits ménagers|Household-product phytotoxicity|Fitotossicità dei prodotti domestici|Pflanzenschäden durch Haushaltsprodukte|GENERAL|Tracheophyta|Nettoyant;Lustrant à feuilles;Produit d'entretien
036|ABIOTIQUE|Phytotoxicité des traitements horticoles|Phytotoxicity from plant treatments|Fitotossicità dei trattamenti sulle piante|Phytotoxische Schäden durch Pflanzenbehandlungen|GENERAL|Tracheophyta|Brûlure par un traitement;Surdosage;Mélange trop concentré
037|ABIOTIQUE|Dégâts d'herbicides|Herbicide injury|Danni da erbicidi|Herbizidschäden|GENERAL|Tracheophyta|Désherbant;Glyphosate;Diserbante;Unkrautvernichter
038|ABIOTIQUE|Œdème physiologique|Physiological oedema|Edema fisiologico|Physiologische Ödeme|LARGE|Pelargonium;Camellia;Crassula;Eucalyptus|Pustules liégeuses;Boursouflures liégeuses
039|ABIOTIQUE|Nécrose apicale des fruits|Blossom-end rot|Marciume apicale dei frutti|Blütenendfäule|CIBLE|Solanum lycopersicum;Capsicum annuum;Solanum melongena;Cucurbita pepo|Cul noir;Cul noir de la tomate;Pourriture apicale
040|ABIOTIQUE|Brûlure marginale de la laitue et des choux|Lettuce and cabbage tipburn|Necrosi marginale della lattuga e dei cavoli|Blattrandnekrose bei Salat und Kohl|CIBLE|Lactuca sativa;Brassica oleracea
041|ABIOTIQUE|Taches amères de la pomme|Apple bitter pit|Butteratura amara del melo|Stippigkeit des Apfels|CIBLE|Malus domestica
042|ABIOTIQUE|Éclatement physiologique des fruits|Physiological fruit splitting|Spaccatura fisiologica dei frutti|Physiologisches Aufplatzen der Früchte|LARGE|Solanum lycopersicum;Prunus avium;Prunus domestica|Fruits fendus;Fendillement;Craquelures;Cracking
043|ABIOTIQUE|Collet vert ou jaune de la tomate|Tomato greenback or yellow shoulder|Colletto verde o giallo del pomodoro|Grün- oder Gelbkragen der Tomate|CIBLE|Solanum lycopersicum
044|ABIOTIQUE|Enroulement physiologique de la tomate|Physiological tomato leaf roll|Accartocciamento fisiologico delle foglie del pomodoro|Physiologisches Blattrollen der Tomate|CIBLE|Solanum lycopersicum|Feuilles enroulées;Enroulement des feuilles
045|ABIOTIQUE|Pollinisation insuffisante|Insufficient pollination|Impollinazione insufficiente|Unzureichende Bestäubung|LARGE|Cucurbita pepo;Cucumis sativus;Malus domestica;Pyrus communis|Manque de pollinisation;Fleurs non fécondées;Fruits qui ne nouent pas
046|ABIOTIQUE|Chute des boutons floraux liée au stress|Stress-induced flower bud drop|Caduta dei boccioli da stress|Stressbedingter Knospenfall|LARGE|Camellia;Gardenia jasminoides;Hibiscus rosa-sinensis;Phalaenopsis|Boutons qui tombent;Coulure
047|ABIOTIQUE|Montaison prématurée|Premature bolting|Montata a seme precoce|Vorzeitiges Schossen|LARGE|Lactuca sativa;Spinacia oleracea;Raphanus sativus;Brassica rapa|Monte en graine;Montée à graine
048|ABIOTIQUE|Photopériode inadaptée|Unsuitable photoperiod|Fotoperiodo inadeguato|Ungeeignete Tageslänge|LARGE|Kalanchoe blossfeldiana;Euphorbia pulcherrima;Chrysanthemum;Schlumbergera|Jours courts;Durée du jour;Éclairage artificiel
049|ABIOTIQUE|Besoin de froid non satisfait|Insufficient chilling|Fabbisogno di freddo non soddisfatto|Nicht erfüllter Kältebedarf|LARGE|Tulipa;Hyacinthus orientalis;Malus domestica;Pyrus communis|Vernalisation;Heures de froid
050|ABIOTIQUE|Épuisement des réserves des bulbes|Depleted bulb reserves|Esaurimento delle riserve dei bulbi|Erschöpfte Reserven der Blumenzwiebeln|LARGE|Narcissus;Tulipa;Hyacinthus orientalis|Bulbes aveugles;Bulbes qui ne fleurissent plus;Blind bulbs
051|RAVAGEUR|Pucerons des feuilles et pousses|Leaf and shoot aphids|Afidi delle foglie e dei germogli|Blattläuse an Blättern und Trieben|LARGE|Rosa;Solanum lycopersicum;Vicia faba;Hibiscus rosa-sinensis|Poux des plantes;Aphis;Myzus persicae;Macrosiphum
052|RAVAGEUR|Puceron lanigère du pommier|Woolly apple aphid|Afide lanigero del melo|Apfelblutlaus|CIBLE|Malus|Eriosoma lanigerum
053|RAVAGEUR|Pucerons des racines|Root aphids|Afidi delle radici|Wurzelläuse|LARGE|Lactuca sativa;Primula|Pemphigus
